Employee_ID,Age,Gender,City,Education_Level,Employment_Type,Experience_Years,Monthly_Income_PKR,Work_Hours_Per_Week,Satisfaction_Level,Has_Certification,Performance_Score,Promoted
1,58,Female,Rawalpindi,Master,Full-time,4.2,83466,52,Low,Yes,68.5,No
2,19,Female,Islamabad,Intermediate,Part-time,0.6,11502,28,Medium,No,39.5,No
3,18,Female,Karachi,Intermediate,Full-time,0.0,23259,38,Medium,Yes,60.0,No
4,34,Female,Karachi,Bachelor,,6.1,0,5,Medium,No,56.9,No
5,20,,,PhD,Freelance,1.7,53235,33,Low,Yes,67.9,No
6,60,Male,Rawalpindi,Bachelor,Full-time,21.9,120718,55,Medium,Yes,91.8,Yes
7,21,Female,Rawalpindi,Master,Full-time,0.2,66973,45,Medium,Yes,59.8,No
8,59,Male,Islamabad,Intermediate,Full-time,16.8,83527,53,Medium,Yes,86.1,Yes
9,50,Male,Rawalpindi,Master,Freelance,4.6,68449,48,Low,Yes,71.3,No
10,47,Male,Peshawar,Master,Full-time,20.9,119954,43,High,Yes,85.0,Yes
11,28,,Rawalpindi,PhD,Freelance,2.6,58006,16,High,Yes,77.8,No
12,58,Female,Islamabad,Bachelor,Full-time,28.6,161842,54,Medium,Yes,84.1,Yes
13,37,Female,Rawalpindi,Intermediate,Part-time,1.5,14682,19,Low,Yes,35.0,No
14,53,Female,Lahore,Bachelor,Part-time,28.9,94691,,High,Yes,93.0,No
15,,Male,Karachi,Master,Full-time,7.4,81176,52,Medium,Yes,73.8,No
16,58,Female,Islamabad,Matric,Full-time,9.9,42992,50,Medium,Yes,63.3,No
17,54,Male,Islamabad,Master,Freelance,5.7,72460,37,Medium,No,70.1,No
18,21,Female,Rawalpindi,Bachelor,Full-time,2.6,47165,49,Low,Yes,60.1,No
19,47,Female,Rawalpindi,Bachelor,Freelance,16.0,123274,,High,No,88.1,Yes
20,28,Male,Karachi,Bachelor,Freelance,9.0,59477,34,Medium,No,65.4,No
21,47,Male,Karachi,Bachelor,Freelance,22.7,92544,22,Medium,No,72.1,Yes
22,52,Female,Lahore,Matric,Part-time,15.1,43192,17,High,Yes,71.9,No
23,22,Female,Karachi,Matric,Freelance,1.0,4451,36,Medium,Yes,47.9,No
24,38,Male,Islamabad,Bachelor,Full-time,5.3,68310,49,Medium,No,69.3,No
25,22,Female,Karachi,Bachelor,Part-time,0.4,7817,19,High,No,59.2,No
26,,Male,Lahore,Intermediate,Freelance,10.6,26568,51,Medium,No,47.4,No
27,53,Male,Rawalpindi,Master,Full-time,3.5,77165,43,Medium,Yes,75.2,Yes
28,58,Male,Peshawar,Bachelor,Unemployed,25.4,25764,4,Low,Yes,84.5,No
29,26,Male,Islamabad,Master,Part-time,3.4,40432,19,Medium,No,62.9,No
30,55,Female,Karachi,Intermediate,Full-time,27.0,,46,Medium,Yes,71.5,No
31,24,Male,Peshawar,Master,Full-time,3.7,81564,40,High,No,84.3,Yes
32,19,Female,Lahore,Master,Full-time,0.7,54600,40,High,Yes,65.8,No
33,20,Male,Islamabad,Intermediate,Unemployed,,13834,3,Low,Yes,34.1,No
34,39,Male,Rawalpindi,PhD,Full-time,13.5,87930,52,Medium,Yes,97.1,Yes
35,34,Female,Peshawar,PhD,Full-time,1.7,56186,45,Medium,No,70.0,No
36,25,Male,Peshawar,Intermediate,Full-time,3.1,15270,41,Medium,Yes,58.6,No
